4,18,6s 7h,943733102,1153839298,2097572400
5,18,7s 7h,1400060188,697512212,2097572400
5,6,7s 8s,1055354241,1042218159,2097572400
5,7,7s 9s,1077579891,1019992509,2097572400
5,8,7s Ts,1106639462,990932938,2097572400
5,9,7s Js,1139628567,957943833,2097572400
5,10,7s Qs,1179296337,918276063,2097572400
5,11,7s Ks,1245496848,852075552,2097572400
5,12,7s As,1315982019,781590381,2097572400
0,19,2s 8h,829978324,1267594076,2097572400
1,19,3s 8h,843596969,1253975431,2097572400
2,19,4s 8h,884848562,1212723838,2097572400
3,19,5s 8h,925318495,1172253905,2097572400
4,19,6s 8h,960378122,1137194278,2097572400
5,19,7s 8h,994424053,1103148347,2097572400
6,19,8s 8h,1460092638,637479762,2097572400
6,7,8s 9s,1109119998,988452402,2097572400
6,8,8s Ts,1138866716,958705684,2097572400
6,9,8s Js,1171682869,925889531,2097572400
6,10,8s Qs,1211621752,885950648,2097572400
6,11,8s Ks,1258225407,839346993,2097572400
6,12,8s As,1332776198,764796202,2097572400
0,20,2s 9h,874244254,1223328146,2097572400
1,20,3s 9h,893798985,1203773415,2097572400
2,20,4s 9h,907332450,1190239950,2097572400
3,20,5s 9h,948135557,1149436843,2097572400
4,20,6s 9h,983327205,1114245195,2097572400
5,20,7s 9h,1017816656,1079755744,2097572400
6,20,8s 9h,1051423549,1046148851,2097572400
7,20,9s 9h,1519667122,577905278,2097572400
7,8,9s Ts,1170796139,926776261,2097572400
7,9,9s Js,1203080403,894491997,2097572400
7,10,9s Qs,1242894601,854677799,2097572400
7,11,9s Ks,1289858599,807713801,2097572400
7,12,9s As,1346930598,750641802,2097572400
0,21,2s Th,924978803,1172593597,2097572400
1,21,3s Th,944618986,1152953414,2097572400
2,21,4s Th,963893825,1133678575,2097572400
3,21,5s Th,978400555,1119171845,2097572400
4,21,6s Th,1013880119,1083692281,2097572400
5,21,7s Th,1048503184,1049069216,2097572400
6,21,8s Th,1082860053,1014712347,2097572400
7,21,9s Th,1116907993,980664407,2097572400
8,21,Ts Th,1580799676,516772724,2097572400
8,9,Ts Js,1238567376,859005024,2097572400
8,10,Ts Qs,1277763828,819808572,2097572400
8,11,Ts Ks,1324572121,773000279,2097572400
8,12,Ts As,1381893782,715678618,2097572400
0,22,2s Jh,978468641,1119103759,2097572400
1,22,3s Jh,998115718,1099456682,2097572400
2,22,4s Jh,1017407234,1080165166,2097572400
3,22,5s Jh,1037399078,1060173322,2097572400
4,22,6s Jh,1048261956,1049310444,2097572400
5,22,7s Jh,1083138911,1014433489,2097572400
6,22,8s Jh,1117306939,980265461,2097572400
7,22,9s Jh,1150791419,946780981,2097572400
8,22,Ts Jh,1188681715,908890685,2097572400
9,22,Js Jh,1631616960,465955440,2097572400
9,10,Js Qs,1292133547,805438853,2097572400
9,11,Js Ks,1338625973,758946427,2097572400
9,12,Js As,1396027100,701545300,2097572400
0,23,2s Qh,1037898616,1059673784,2097572400
1,23,3s Qh,1057469625,1040102775,2097572400
2,23,4s Qh,1076696557,1020875843,2097572400
3,23,5s Qh,1096635301,1000937099,2097572400
4,23,6s Qh,1112795799,984776601,2097572400
5,23,7s Qh,1124864465,972707935,2097572400
6,23,8s Qh,1159308595,938263805,2097572400
7,23,9s Qh,1192655879,904916521,2097572400
8,23,Ts Qh,1229894284,867678116,2097572400
9,23,Js Qh,1245185002,852387398,2097572400
10,23,Qs Qh,1682637720,414934680,2097572400
10,11,Qs Ks,1354071520,743500880,2097572400
10,12,Qs As,1411093661,686478739,2097572400
0,24,2s Kh,1103211183,994361217,2097572400
1,24,3s Kh,1122623162,974949238,2097572400
2,24,4s Kh,1141704249,955868151,2097572400
3,24,5s Kh,1161510333,936062067,2097572400
4,24,6s Kh,1177775102,919797298,2097572400
5,24,7s Kh,1194722120,902850280,2097572400
6,24,8s Kh,1208384434,889187966,2097572400
7,24,9s Kh,1242102788,855469612,2097572400
8,24,Ts Kh,1279174033,818398367,2097572400
9,24,Js Kh,1294121143,803451257,2097572400
10,24,Qs Kh,1310549545,787022855,2097572400
11,24,Ks Kh,1734147518,363424882,2097572400
11,12,Ks As,1427197106,670375294,2097572400
0,25,2s Ah,1193724507,903847893,2097572400
1,25,3s Ah,1213107770,884464630,2097572400
2,25,4s Ah,1231830537,865741863,2097572400
3,25,5s Ah,1251218187,846354213,2097572400
4,25,6s Ah,1247942288,849630112,2097572400
5,25,7s Ah,1269301374,828271026,2097572400
6,25,8s Ah,1287302304,810270096,2097572400
7,25,9s Ah,1302505861,795066539,2097572400
